0	87	150	183	247	373	307	337	369	464	490	626	811	952	1122	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1953	2052	1082	1569	INF	INF	INF	INF	INF	
409	0	63	96	160	286	220	250	282	377	403	539	724	865	1035	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1866	1965	995	1482	INF	INF	INF	INF	INF	
346	433	0	33	97	223	157	187	219	314	340	476	661	802	972	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1803	1902	932	1419	INF	INF	INF	INF	INF	
313	400	463	0	64	190	124	154	186	281	307	443	628	769	939	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1770	1869	899	1386	INF	INF	INF	INF	INF	
249	336	399	432	0	126	60	90	122	217	243	379	564	705	875	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1706	1805	835	1322	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	0	INF	INF	INF	INF	117	253	438	579	749	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1580	1679	709	1196	INF	INF	INF	INF	INF	
189	276	339	372	436	66	0	30	62	157	183	319	504	645	815	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1646	1745	775	1262	INF	INF	INF	INF	INF	
159	246	309	342	406	532	466	0	32	127	649	785	970	1111	1281	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	2112	2211	1241	1728	INF	INF	INF	INF	INF	
127	214	277	310	374	500	434	464	0	95	617	753	938	1079	1249	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	2080	2179	1209	1696	INF	INF	INF	INF	INF	
32	119	182	215	279	405	339	369	401	0	522	658	843	984	1154	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1985	2084	1114	1601	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	136	321	462	632	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1463	1562	592	1079	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	185	326	496	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1327	1426	456	943	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	141	311	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1142	1241	271	758	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	170	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1001	1100	130	617	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	930	INF	INF	INF	INF	INF	INF	INF	
1555	1642	1209	1242	1306	1432	1366	1396	1428	1523	1549	1685	1870	2011	2181	0	INF	INF	INF	241	512	1147	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	3012	3111	2141	2628	INF	INF	INF	INF	INF	
2498	2585	2152	2185	2249	2375	2309	2339	2371	2466	2492	2628	2813	2954	3124	943	0	694	514	1184	1455	2090	5837	8399	11488	10431	11812	4144	11656	3949	6150	4848	10246	722	562	747	979	903	1873	12010	1158	1002	1654	784	2033	1259	203	1024	878	696	922	335	814	55	1373	252	1966	755	571	1520	262	3955	4054	3084	3571	INF	5634	3734	6006	5098	
1804	1891	1458	1491	1555	1681	1615	1645	1677	1772	1798	1934	2119	2260	2430	249	INF	0	INF	490	761	1396	6489	9051	12140	11083	12464	4796	12308	4601	6802	5500	10898	1374	1214	53	1631	209	2525	12662	464	1532	2184	1314	2685	565	855	659	1408	1226	1574	987	1466	707	679	904	2618	1407	1101	2050	792	3261	3360	2390	2877	INF	6286	4386	6658	5750	
1984	2071	1638	1671	1735	1861	1795	1825	1857	1952	1978	2114	2299	2440	2610	429	INF	180	0	670	941	1576	6669	9231	12320	11263	12644	4976	12488	4781	6982	5680	11078	1554	1394	233	1811	389	2705	12842	644	1712	2364	1494	2865	745	1035	839	1588	1406	1754	1167	1646	887	859	1084	2798	1587	1281	2230	972	3441	3540	2570	3057	INF	6466	4566	6838	5930	
1314	1401	968	1001	1065	1191	1125	1155	1187	1282	1308	1444	1629	1770	1940	INF	INF	INF	INF	0	271	906	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	2771	2870	1900	2387	INF	INF	INF	INF	INF	
1043	1130	697	730	794	920	854	884	916	1011	1037	1173	1358	1499	1669	INF	INF	INF	INF	INF	0	635	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	2500	2599	1629	2116	INF	INF	INF	INF	INF	
408	495	62	95	159	285	219	249	281	376	402	538	723	864	1034	INF	INF	INF	INF	INF	INF	0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1865	1964	994	1481	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	2562	5651	4594	5975	INF	5819	INF	313	INF	4409	INF	INF	INF	INF	INF	INF	6173	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	169	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	3089	2032	3413	INF	3257	INF	INF	INF	1847	INF	INF	INF	INF	INF	INF	3611	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	INF	324	INF	168	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	522	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1057	0	1381	INF	1225	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	1579	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
